ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   494.948E-03,  -215.763E-03,   372.779E-03,  -243.835E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   318.816E-03,  -167.430E-03,   254.491E-03,  -94.0491E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   301.110E-03,  -238.664E-03,  -146.130E-03,  -111.144E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   662.531E-03,  -232.856E-03,   204.018E-03,  -585.750E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   431.453E-03,  -202.300E-03,   121.196E-03,  -361.300E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   596.800E-03,  -270.094E-03,  -340.638E-03,  -408.882E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1009,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   656.544E-03,  -201.158E-03,   100.665E-03,  -616.808E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1009,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   463.117E-03,  -205.495E-03,   47.4665E-03,  -412.306E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1009,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   672.806E-03,  -257.037E-03,  -423.273E-03,  -455.456E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     19: Step Time =   0.1516,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   627.790E-03,  -111.105E-03,   28.3943E-03,  -617.227E-03
