ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   154.332E-03,  -68.8939E-03,  -19.0252E-03,   136.784E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   277.695E-06,  -148.114E-06,   230.042E-06,   47.5124E-06
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   304.217E-03,  -76.8811E-03,  -289.064E-03,   55.4923E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_NoTether_Upgrade.odb,Load1,Increment     15: Step Time =   5.8616E-02,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   566.905E-03,  -97.2450E-03,   20.6876E-03,  -558.119E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_NoTether_Upgrade.odb,Load1,Increment     15: Step Time =   5.8616E-02,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.39895E-03,  -78.5672E-06,  -539.125E-06,  -1.28850E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_NoTether_Upgrade.odb,Load1,Increment     15: Step Time =   5.8616E-02,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   649.053E-03,  -129.300E-03,  -509.389E-03,  -380.886E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   0.1073,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   721.490E-03,  -96.9577E-03,   10.7596E-03,  -714.865E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   0.1073,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.03062E-03,  -69.7910E-06,  -937.579E-06,  -1.79986E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   0.1073,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   746.633E-03,  -133.974E-03,  -552.587E-03,  -483.900E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1681,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   865.545E-03,  -105.967E-03,   4.88557E-03,  -859.020E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1681,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.82882E-03,  -114.863E-06,  -1.47218E-03,  -2.41282E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1681,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   837.430E-03,  -143.266E-03,  -586.591E-03,  -580.238E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_NoTether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2054,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   938.950E-03,  -110.609E-03,   4.16682E-03,  -932.403E-03
