ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   398.348E-03,  -148.215E-03,   313.873E-03,   195.441E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   290.343E-03,  -113.324E-03,   219.037E-03,   153.231E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   286.688E-03,  -164.922E-03,  -93.4225E-03,   215.088E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     14: Step Time =   5.7264E-02,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   963.946E-03,  -21.1152E-03,  -218.388E-03,  -938.644E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     14: Step Time =   5.7264E-02,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   597.973E-03,  -59.2492E-03,  -137.914E-03,  -578.827E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     14: Step Time =   5.7264E-02,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.03602,  -89.2029E-03,  -731.160E-03,  -728.555E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     18: Step Time =   0.1048,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.10715,  -189.072E-03,  -238.340E-03,      -1.06453
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     18: Step Time =   0.1048,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   663.865E-03,  -137.331E-03,  -168.899E-03,  -627.161E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     18: Step Time =   0.1048,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.14148,  -227.236E-03,  -782.598E-03,  -799.305E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1519,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.18193,  -374.516E-03,  -172.156E-03,      -1.10772
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1519,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   700.846E-03,  -229.909E-03,  -158.646E-03,  -642.774E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1519,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.15565,  -377.230E-03,  -747.394E-03,  -796.629E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     24: Step Time =   0.2136,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.28526,  -574.665E-03,  -93.8845E-03,      -1.14579
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     24: Step Time =   0.2136,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   753.860E-03,  -333.387E-03,  -140.271E-03,  -661.424E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     24: Step Time =   0.2136,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.18233,  -538.580E-03,  -692.625E-03,  -792.535E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     27: Step Time =   0.2657,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.39713,  -742.073E-03,  -40.6474E-03,      -1.18307
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     27: Step Time =   0.2657,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   810.478E-03,  -424.416E-03,  -126.051E-03,  -678.864E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     27: Step Time =   0.2657,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.23214,  -672.924E-03,  -651.392E-03,  -800.640E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     28: Step Time =   0.3027,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.48560,  -859.847E-03,  -6.44011E-03,      -1.21146
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     28: Step Time =   0.3027,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   855.639E-03,  -490.085E-03,  -116.508E-03,  -691.636E-03
