ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   414.376E-03,  -37.4982E-03,  -105.517E-03,   398.958E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   738.248E-06,  -241.399E-06,   419.620E-06,   557.365E-06
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   278.269E-03,  -45.7705E-03,  -187.547E-03,   200.412E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   6.5373E-02,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   499.036E-03,  -136.439E-03,  -15.2690E-03,  -479.780E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   6.5373E-02,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.94116E-03,  -193.031E-06,  -1.08117E-03,  -1.60060E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   6.5373E-02,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   624.661E-03,  -147.962E-03,  -494.637E-03,  -351.628E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     15: Step Time =   0.1100,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   496.887E-03,  -119.600E-03,  -41.1827E-03,  -480.517E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     15: Step Time =   0.1100,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.21190E-03,  -115.346E-06,  -1.32001E-03,  -1.77109E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     15: Step Time =   0.1100,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   639.963E-03,  -140.213E-03,  -508.396E-03,  -362.529E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   0.1549,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   459.712E-03,  -105.517E-03,  -55.8823E-03,  -443.936E-03
