ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   398.502E-03,  -157.716E-03,   311.481E-03,   192.118E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   270.624E-03,  -121.416E-03,   224.047E-03,   91.0929E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   261.271E-03,  -175.966E-03,  -78.4801E-03,   176.463E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   275.568E-03,  -102.620E-03,   132.218E-03,  -218.918E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   248.436E-03,  -104.194E-03,   98.0933E-03,  -203.081E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   375.465E-03,  -144.773E-03,  -297.749E-03,  -177.089E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1215,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   417.237E-03,  -3.52365E-03,   75.5383E-03,  -410.327E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1215,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   259.613E-03,  -40.3341E-03,   88.6462E-03,  -240.653E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1215,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   496.354E-03,  -65.5908E-03,  -390.894E-03,  -298.777E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   0.1601,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   589.572E-03,   41.2035E-03,  -21.4087E-03,  -587.740E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   0.1601,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   301.382E-03,  -9.00131E-03,   38.7669E-03,  -298.743E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   0.1601,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   661.293E-03,  -29.6496E-03,  -508.308E-03,  -421.963E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment     18: Step Time =   0.2148,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   907.840E-03,   90.9485E-03,  -231.632E-03,  -873.068E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment     18: Step Time =   0.2148,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   449.329E-03,   25.8674E-03,  -95.8330E-03,  -438.228E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_NoTether_Upgrade.odb,Load1,Increment     18: Step Time =   0.2148,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   972.676E-03,   11.4126E-03,  -732.084E-03,  -640.329E-03
