ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   260.872E-03,   128.063E-03,   16.1758E-03,  -226.699E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   247.255E-03,   31.5728E-03,   20.0859E-03,  -244.407E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   435.682E-03,   49.4895E-03,  -378.578E-03,  -209.876E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment      4: Step Time =   5.7500E-02,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   605.037E-03,   377.866E-03,  -231.924E-03,  -411.702E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment      4: Step Time =   5.7500E-02,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   419.783E-03,   162.210E-03,  -122.030E-03,  -367.443E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment      4: Step Time =   5.7500E-02,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   747.983E-03,   250.566E-03,  -590.110E-03,  -385.311E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment     10: Step Time =   0.1017,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   795.571E-03,   587.594E-03,  -272.724E-03,  -461.831E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment     10: Step Time =   0.1017,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   506.712E-03,   284.029E-03,  -143.509E-03,  -394.322E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment     10: Step Time =   0.1017,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   861.798E-03,   428.718E-03,  -618.671E-03,  -419.694E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment     13: Step Time =   0.1524,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   998.816E-03,   834.068E-03,  -246.503E-03,  -491.120E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment     13: Step Time =   0.1524,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   591.618E-03,   423.845E-03,  -126.213E-03,  -392.986E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment     13: Step Time =   0.1524,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   962.093E-03,   637.418E-03,  -586.166E-03,  -419.202E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment     19: Step Time =   0.2161,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.26882,       1.14671,  -180.918E-03,  -512.100E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment     19: Step Time =   0.2161,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   714.856E-03,   594.650E-03,  -92.7344E-03,  -385.759E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment     19: Step Time =   0.2161,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.11131,   902.268E-03,  -510.330E-03,  -400.601E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment     23: Step Time =   0.2520,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.42004,       1.31445,  -136.354E-03,  -519.765E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6P_1-26_Upgrade.odb,Load1,Increment     23: Step Time =   0.2520,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   788.256E-03,   687.200E-03,  -69.2931E-03,  -379.871E-03
