ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   365.505E-03,  -110.461E-03,   44.2326E-03,  -345.594E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.19762E-03,  -159.896E-06,  -538.841E-06,  -1.05754E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   517.129E-03,  -127.696E-03,  -440.038E-03,  -239.756E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   569.649E-03,  -99.0270E-03,   12.4042E-03,  -560.838E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.60988E-03,  -244.599E-06,  -725.847E-06,  -1.41599E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   654.905E-03,  -129.744E-03,  -513.091E-03,  -385.753E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   629.522E-03,  -128.092E-03,   32.1295E-03,  -615.514E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.81831E-03,  -614.212E-06,  -777.156E-06,  -1.52481E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   673.394E-03,  -145.275E-03,  -512.268E-03,  -412.233E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   658.379E-03,  -169.195E-03,   58.9055E-03,  -633.535E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.00059E-03,  -1.06581E-03,  -729.738E-06,  -1.52771E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   664.461E-03,  -163.245E-03,  -494.321E-03,  -412.924E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   694.684E-03,  -215.329E-03,   87.6903E-03,  -654.622E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.36141E-03,  -1.58854E-03,  -735.527E-06,  -1.58487E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   654.448E-03,  -182.139E-03,  -471.775E-03,  -415.399E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   707.159E-03,  -231.300E-03,   96.2301E-03,  -661.298E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.49056E-03,  -1.74840E-03,  -745.185E-06,  -1.60957E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   651.172E-03,  -188.502E-03,  -463.608E-03,  -416.605E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     34: Step Time =   0.3088,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   746.924E-03,  -280.942E-03,   120.362E-03,  -681.528E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     34: Step Time =   0.3088,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.90655E-03,  -2.22601E-03,  -786.164E-06,  -1.69555E-03
