ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   736.859E-03,  -75.3282E-03,   203.826E-03,   704.090E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   450.133E-03,  -70.2417E-03,   154.382E-03,   416.955E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   586.851E-03,  -91.8756E-03,  -29.3307E-03,   578.872E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   889.898E-03,  -7.33678E-03,  -161.003E-03,  -875.181E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   550.116E-03,  -50.8884E-03,  -96.3442E-03,  -539.218E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   956.655E-03,  -71.6613E-03,  -670.862E-03,  -678.232E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1106,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.05894,  -147.461E-03,  -276.883E-03,      -1.01141
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1106,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   654.858E-03,  -122.168E-03,  -172.278E-03,  -619.867E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1106,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.13490,  -184.950E-03,  -787.342E-03,  -796.161E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     24: Step Time =   0.1517,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.09750,  -295.971E-03,  -250.513E-03,      -1.02672
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     24: Step Time =   0.1517,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   696.005E-03,  -203.786E-03,  -173.573E-03,  -642.470E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     24: Step Time =   0.1517,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.16006,  -305.287E-03,  -778.122E-03,  -804.402E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     27: Step Time =   0.2083,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.10366,  -497.646E-03,  -136.286E-03,  -975.627E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     27: Step Time =   0.2083,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   722.632E-03,  -310.879E-03,  -134.736E-03,  -638.277E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     27: Step Time =   0.2083,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.11981,  -464.911E-03,  -689.346E-03,  -750.095E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2561,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.13297,  -687.144E-03,   19.6942E-03,  -900.593E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_APSlide_NoTether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2561,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   733.603E-03,  -415.179E-03,  -57.4104E-03,  -602.083E-03
