ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   414.658E-03,  -37.4582E-03,  -105.591E-03,   399.235E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   738.834E-06,  -241.564E-06,   419.867E-06,   557.882E-06
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   278.285E-03,  -45.7259E-03,  -187.408E-03,   200.574E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   5.8158E-02,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   533.770E-03,  -124.663E-03,  -13.9657E-03,  -518.820E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   5.8158E-02,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.69900E-03,  -187.312E-06,  -831.526E-06,  -1.46972E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   5.8158E-02,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   644.328E-03,  -148.604E-03,  -502.397E-03,  -375.064E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1053,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   544.119E-03,  -90.0770E-03,  -33.4817E-03,  -535.565E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1053,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.89581E-03,  -62.0213E-06,  -986.724E-06,  -1.61760E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1053,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   665.756E-03,  -135.245E-03,  -520.732E-03,  -392.145E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     30: Step Time =   0.1611,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   506.054E-03,  -46.5592E-03,  -39.6271E-03,  -502.347E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     30: Step Time =   0.1611,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.05970E-03,   68.7742E-06,  -1.13768E-03,  -1.71561E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     30: Step Time =   0.1611,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   650.869E-03,  -114.641E-03,  -521.595E-03,  -372.059E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     34: Step Time =   0.2001,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   450.198E-03,  -12.3359E-03,  -36.9172E-03,  -448.513E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     34: Step Time =   0.2001,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.13154E-03,   144.542E-06,  -1.22301E-03,  -1.73977E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     34: Step Time =   0.2001,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   619.467E-03,  -97.4258E-03,  -511.658E-03,  -335.341E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     39: Step Time =   0.2607,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   325.555E-03,   52.6219E-03,  -21.1583E-03,  -320.577E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     39: Step Time =   0.2607,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.18770E-03,   243.544E-06,  -1.32911E-03,  -1.72052E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     39: Step Time =   0.2607,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   541.760E-03,  -63.9611E-03,  -478.254E-03,  -246.346E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     43: Step Time =   0.3058,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   233.806E-03,   102.108E-03,  -4.73376E-03,  -210.277E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     43: Step Time =   0.3058,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.14157E-03,   316.379E-06,  -1.34467E-03,  -1.63648E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     43: Step Time =   0.3058,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   476.584E-03,  -38.5887E-03,  -443.695E-03,  -169.640E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     49: Step Time =   0.3555,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   178.467E-03,   150.893E-03,   13.3222E-03,  -94.3614E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     49: Step Time =   0.3555,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.03078E-03,   402.207E-06,  -1.31363E-03,  -1.49555E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     49: Step Time =   0.3555,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   413.947E-03,  -15.4713E-03,  -403.785E-03,  -89.8390E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     57: Step Time =   0.4011,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   195.329E-03,   193.103E-03,   28.6249E-03,   6.74599E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     57: Step Time =   0.4011,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.90643E-03,   484.425E-06,  -1.26437E-03,  -1.34207E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     57: Step Time =   0.4011,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   366.780E-03,   3.50643E-03,  -366.118E-03,  -21.7496E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     63: Step Time =   0.4578,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   268.151E-03,   236.404E-03,   42.4147E-03,   119.244E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     63: Step Time =   0.4578,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.72404E-03,   603.001E-06,  -1.15947E-03,  -1.12443E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     63: Step Time =   0.4578,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   326.144E-03,   21.2531E-03,  -321.458E-03,   50.8232E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     70: Step Time =   0.5144,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   345.381E-03,   268.975E-03,   52.2005E-03,   210.274E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     70: Step Time =   0.5144,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.50066E-03,   768.924E-06,  -970.944E-06,  -847.347E-06
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     70: Step Time =   0.5144,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   305.394E-03,   34.2753E-03,  -283.316E-03,   108.733E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     73: Step Time =   0.5510,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   386.502E-03,   284.204E-03,   55.3666E-03,   256.021E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_APSlide_NoTether_Upgrade.odb,Load1,Increment     73: Step Time =   0.5510,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.39773E-03,   879.332E-06,  -847.686E-06,  -679.599E-06
