ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_4P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   736.467E-03,  -75.4003E-03,   203.940E-03,   703.639E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   449.906E-03,  -70.2746E-03,   154.456E-03,   416.677E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   586.507E-03,  -91.9464E-03,  -29.3658E-03,   578.510E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   6.9261E-02,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   804.589E-03,  -97.8262E-03,   111.372E-03,  -790.816E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   6.9261E-02,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   441.016E-03,  -108.407E-03,   92.8067E-03,  -417.289E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   6.9261E-02,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   734.050E-03,  -152.558E-03,  -455.948E-03,  -554.677E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1039,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   930.930E-03,  -41.8546E-03,   47.4955E-03,  -928.775E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1039,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   462.058E-03,  -71.7304E-03,   71.9458E-03,  -450.750E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1039,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   846.652E-03,  -107.706E-03,  -531.564E-03,  -650.121E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     24: Step Time =   0.1633,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.28407,   28.5609E-03,  -189.291E-03,      -1.26972
