ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_5N_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   736.467E-03,  -75.4003E-03,   203.940E-03,   703.639E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   449.906E-03,  -70.2746E-03,   154.456E-03,   416.677E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   586.507E-03,  -91.9464E-03,  -29.3658E-03,   578.510E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   6.9261E-02,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   750.678E-03,  -80.5895E-03,   16.9911E-03,  -746.147E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   6.9261E-02,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   470.526E-03,  -89.6745E-03,   2.90334E-03,  -461.893E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   6.9261E-02,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   767.529E-03,  -126.516E-03,  -516.341E-03,  -553.612E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1154,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   833.716E-03,  -92.2247E-03,  -70.8445E-03,  -825.565E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1154,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   529.512E-03,  -84.5827E-03,  -60.1112E-03,  -519.244E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1154,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   875.727E-03,  -129.527E-03,  -599.492E-03,  -625.084E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     25: Step Time =   0.1566,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   902.238E-03,  -169.380E-03,  -121.615E-03,  -877.812E-03
