ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   736.476E-03,  -75.3854E-03,   203.937E-03,   703.651E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   449.913E-03,  -70.2737E-03,   154.455E-03,   416.685E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   586.515E-03,  -91.9381E-03,  -29.3645E-03,   578.520E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   800.114E-03,  -36.9334E-03,  -58.7959E-03,  -797.095E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   498.660E-03,  -67.3921E-03,  -38.4697E-03,  -492.585E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   843.404E-03,  -93.8336E-03,  -581.135E-03,  -603.993E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   0.1060,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   954.340E-03,  -98.1511E-03,  -198.561E-03,  -928.280E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   0.1060,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   600.980E-03,  -91.5897E-03,  -131.656E-03,  -579.184E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   0.1060,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.02493,  -139.916E-03,  -713.537E-03,  -722.340E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1791,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.06073,  -338.658E-03,  -195.074E-03,  -986.107E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1791,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   687.983E-03,  -221.410E-03,  -154.845E-03,  -632.709E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1791,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.11147,  -334.838E-03,  -732.689E-03,  -765.776E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     25: Step Time =   0.2104,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.08465,  -446.807E-03,  -151.262E-03,  -976.702E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     25: Step Time =   0.2104,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   711.656E-03,  -279.732E-03,  -142.363E-03,  -638.699E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     25: Step Time =   0.2104,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.11158,  -421.529E-03,  -701.089E-03,  -752.598E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2649,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.13060,  -648.587E-03,  -23.1009E-03,  -925.779E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2649,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   738.650E-03,  -390.390E-03,  -84.6826E-03,  -621.312E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2649,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.08683,  -584.415E-03,  -596.420E-03,  -695.656E-03
