ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.14857,   813.647E-03,       1.73277,  -975.614E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.38303,   629.981E-03,       1.16478,  -398.986E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.18413,   730.144E-03,   756.147E-03,  -545.248E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.11343,   833.252E-03,       1.71528,  -911.099E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.36423,   646.833E-03,       1.13314,  -398.389E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.18067,   748.411E-03,   754.094E-03,  -514.969E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.09991,   853.773E-03,       1.76398,  -754.345E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.35108,   666.070E-03,       1.12478,  -341.512E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.18873,   768.836E-03,   812.439E-03,  -402.377E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment     14: Step Time =   0.1737,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.13002,   872.305E-03,       1.85665,  -573.489E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment     14: Step Time =   0.1737,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.35615,   683.234E-03,       1.14095,  -265.622E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment     14: Step Time =   0.1737,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.23389,   787.297E-03,   912.384E-03,  -264.965E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment     16: Step Time =   0.2001,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.15945,   880.095E-03,       1.91129,  -485.421E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment     16: Step Time =   0.2001,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.36665,   691.195E-03,       1.15709,  -226.106E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment     16: Step Time =   0.2001,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.27057,   795.876E-03,   970.591E-03,  -197.187E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment     24: Step Time =   0.2526,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.25327,   894.411E-03,       2.04577,  -303.427E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment     24: Step Time =   0.2526,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.40751,   708.265E-03,       1.20843,  -138.329E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment     24: Step Time =   0.2526,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.37882,   813.858E-03,       1.11168,  -54.3430E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_APPhys_Tether_Upgrade.odb,Load1,Increment     29: Step Time =   0.3027,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.39221,   904.433E-03,       2.21102,  -126.709E-03
