ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   404.305E-03,  -107.742E-03,   31.6941E-03,  -388.394E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.31035E-03,  -137.598E-06,  -606.907E-06,  -1.15315E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   547.259E-03,  -128.435E-03,  -457.426E-03,  -271.586E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   406.761E-03,  -109.344E-03,   31.7995E-03,  -390.496E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.31195E-03,  -147.755E-06,  -605.255E-06,  -1.15458E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   548.319E-03,  -129.553E-03,  -457.530E-03,  -273.012E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   411.392E-03,  -118.143E-03,   32.1412E-03,  -392.750E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.30138E-03,  -210.891E-06,  -584.360E-06,  -1.14352E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   548.551E-03,  -135.297E-03,  -455.123E-03,  -274.711E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   416.585E-03,  -129.023E-03,   32.7782E-03,  -394.743E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.29240E-03,  -291.422E-06,  -558.436E-06,  -1.12850E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   547.749E-03,  -141.799E-03,  -451.738E-03,  -275.416E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   423.026E-03,  -141.431E-03,   34.2079E-03,  -397.213E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.29717E-03,  -392.853E-06,  -533.920E-06,  -1.11500E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   546.322E-03,  -148.815E-03,  -447.058E-03,  -276.515E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     14: Step Time =   0.2643,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   430.661E-03,  -154.573E-03,   36.4017E-03,  -400.313E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     14: Step Time =   0.2643,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.31562E-03,  -505.876E-06,  -509.779E-06,  -1.10230E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     14: Step Time =   0.2643,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   544.394E-03,  -155.857E-03,  -441.604E-03,  -277.595E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     15: Step Time =   0.3143,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   439.546E-03,  -167.845E-03,   39.1213E-03,  -404.349E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     15: Step Time =   0.3143,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.34783E-03,  -627.772E-06,  -484.694E-06,  -1.08978E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     15: Step Time =   0.3143,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   542.868E-03,  -162.932E-03,  -436.155E-03,  -279.155E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     16: Step Time =   0.3643,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   449.732E-03,  -179.910E-03,   42.0790E-03,  -410.025E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     16: Step Time =   0.3643,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.40545E-03,  -744.888E-06,  -477.775E-06,  -1.09186E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     16: Step Time =   0.3643,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   542.564E-03,  -169.323E-03,  -431.677E-03,  -281.709E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     17: Step Time =   0.4143,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   460.287E-03,  -191.325E-03,   45.9664E-03,  -416.108E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     17: Step Time =   0.4143,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.47695E-03,  -866.353E-06,  -475.574E-06,  -1.09756E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     17: Step Time =   0.4143,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   542.354E-03,  -175.479E-03,  -427.084E-03,  -284.525E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     18: Step Time =   0.4643,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   470.894E-03,  -202.349E-03,   50.7686E-03,  -422.159E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     18: Step Time =   0.4643,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.55295E-03,  -989.773E-06,  -470.420E-06,  -1.10032E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     18: Step Time =   0.4643,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   541.533E-03,  -181.251E-03,  -421.847E-03,  -287.143E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     19: Step Time =   0.5143,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   481.248E-03,  -213.239E-03,   56.4634E-03,  -427.715E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     19: Step Time =   0.5143,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.63473E-03,  -1.11994E-03,  -460.175E-06,  -1.09832E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     19: Step Time =   0.5143,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   540.066E-03,  -186.874E-03,  -416.098E-03,  -289.158E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     20: Step Time =   0.5643,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   491.360E-03,  -224.256E-03,   63.7508E-03,  -432.527E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     20: Step Time =   0.5643,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.72218E-03,  -1.26144E-03,  -439.684E-06,  -1.08691E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     20: Step Time =   0.5643,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   536.714E-03,  -192.614E-03,  -408.742E-03,  -289.642E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_Tethera_Upgrade.odb,Load1,Increment     21: Step Time =   0.6143,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   501.115E-03,  -234.418E-03,   72.5383E-03,  -436.924E-03
