ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.42997,  -692.215E-03,       2.12264,  -959.160E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.26098,  -340.266E-03,       2.22603,   202.674E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.23341,  -192.872E-03,       2.11760,   683.160E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.19642,  -440.688E-03,       2.14760,  -133.754E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.43112,  -331.911E-03,       2.39661,   237.608E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.81840,  -485.162E-03,       1.74121,  -198.431E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.95182,  -353.383E-03,       1.87620,   405.701E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.82133,  -241.757E-03,       1.56295,   903.321E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.73086,  -429.878E-03,       1.67633,   31.4460E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.10757,  -346.545E-03,       2.03044,   446.188E-03
