ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.42957,  -692.232E-03,       2.12248,  -958.494E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.26117,  -340.310E-03,       2.22607,   204.163E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.23387,  -192.920E-03,       2.11748,   684.993E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.19624,  -440.722E-03,       2.14749,  -132.498E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.43123,  -331.953E-03,       2.39657,   239.125E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.81825,  -485.189E-03,       1.74117,  -197.394E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.95211,  -353.418E-03,       1.87620,   407.065E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.82196,  -241.792E-03,       1.56273,   904.964E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.73071,  -429.902E-03,       1.67615,   32.6180E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.10781,  -346.579E-03,       2.03037,   447.584E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       2.16815,  -566.997E-03,       2.04127,   461.092E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.13359,  -596.813E-03,       2.04813,  -34.7782E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.15382,  -445.479E-03,       2.07743,  -353.240E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.59617,   188.068E-03,   656.850E-03,      -1.44254
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       1.46106,   226.427E-03,   667.833E-03,      -1.27962
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.41271,   225.728E-03,   643.324E-03,      -1.23731
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.50787,   209.260E-03,   652.496E-03,      -1.34318
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.49826,   222.523E-03,   674.540E-03,      -1.31919
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.13771,   166.204E-03,   369.599E-03,      -1.06308
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",   949.578E-03,   202.500E-03,   412.957E-03,  -830.758E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",   745.031E-03,   172.179E-03,   241.920E-03,  -683.301E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.10754,   154.215E-03,   300.343E-03,      -1.05482
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       1.05735,   191.877E-03,   411.053E-03,  -955.093E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",   989.152E-03,  -54.1294E-03,   552.156E-03,  -818.912E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       1.31312,   4.87966E-03,   624.161E-03,      -1.15528
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       1.72592,   171.919E-03,   697.058E-03,      -1.56950
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1019,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.13376,   452.407E-03,  -30.1810E-03,      -1.03914
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1019,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       1.49053,  -267.031E-03,   191.303E-03,      -1.45388
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1019,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.48726,  -450.834E-03,   13.0699E-03,      -1.41723
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1019,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.24755,  -16.4959E-03,   508.292E-06,      -1.24744
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1019,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.22530,  -254.648E-03,  -295.320E-03,      -1.16159
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1019,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.12142,  -8.86183E-03,   59.5983E-03,      -1.11980
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1019,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.03204,  -252.170E-03,  -24.3790E-03,      -1.00046
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1019,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",   985.543E-03,  -382.882E-03,  -303.388E-03,  -855.950E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1019,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.01702,  -57.3086E-03,  -274.227E-03,  -977.676E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1019,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       1.00475,  -253.324E-03,  -523.438E-03,  -819.369E-03
