ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.92797,  -238.345E-03,       2.03354,      -2.09306
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.29128,   508.695E-03,       1.95288,      -1.08509
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.30531,   675.079E-03,       2.00810,  -909.003E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.52709,   238.648E-03,       2.02886,      -1.48759
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.80841,   472.259E-03,       2.37289,      -1.42601
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.83473,   166.695E-03,       1.44914,      -1.11285
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.81114,   449.338E-03,       1.63490,  -636.722E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.58660,   513.058E-03,       1.45707,  -361.987E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.95272,   183.096E-03,       1.55584,      -1.16574
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.31903,   417.296E-03,       2.03982,      -1.02123
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       1.90608,   221.289E-03,       1.79014,  -616.101E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.17369,   89.6056E-03,       1.84145,      -1.15150
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.65543,   168.252E-03,       2.00294,      -1.73528
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.38948,   262.316E-03,   389.862E-03,      -1.30761
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       1.36245,   404.790E-03,   339.008E-03,      -1.25598
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.42505,   416.273E-03,   375.617E-03,      -1.31011
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.40695,   345.751E-03,   377.741E-03,      -1.31045
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.49452,   392.810E-03,   425.062E-03,      -1.37791
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.00554,   295.583E-03,   47.8550E-03,  -959.927E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",   897.131E-03,   371.097E-03,   97.5310E-03,  -810.937E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",   827.181E-03,   337.643E-03,   5.40231E-03,  -755.114E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.06739,   279.302E-03,   48.0116E-03,      -1.02908
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       1.09687,   353.638E-03,   177.219E-03,      -1.02306
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",   835.772E-03,   120.691E-03,   228.133E-03,  -794.924E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       1.15650,   148.601E-03,   322.119E-03,      -1.10075
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       1.62808,   295.146E-03,   444.299E-03,      -1.53822
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.04423,   484.186E-03,  -310.017E-03,  -871.702E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       1.53683,  -370.937E-03,  -62.4088E-03,      -1.49009
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.62882,  -589.855E-03,  -247.278E-03,      -1.49799
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.23999,  -73.4942E-03,  -271.510E-03,      -1.20767
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.35796,  -358.325E-03,  -632.397E-03,      -1.14706
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.10559,  -53.4946E-03,  -147.749E-03,      -1.09437
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.12814,  -349.783E-03,  -259.265E-03,      -1.04074
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.18375,  -501.127E-03,  -527.838E-03,  -933.552E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.08362,  -110.519E-03,  -515.820E-03,  -946.544E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       1.22374,  -351.421E-03,  -846.736E-03,  -810.613E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       1.23266,  -640.164E-03,  -128.643E-03,      -1.04551
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       1.24329,  -336.994E-03,  -72.5199E-03,      -1.19455
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1077,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       1.41247,  -56.5303E-03,  -179.634E-03,      -1.39986
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.10447,   671.597E-03,  -664.068E-03,  -572.553E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       1.95127,  -998.520E-03,  -111.771E-03,      -1.67270
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.22740,      -1.43156,  -494.649E-03,      -1.63317
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.33904,  -421.056E-03,  -558.287E-03,      -1.14195
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.87587,  -998.694E-03,      -1.25030,  -978.904E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.24379,  -328.831E-03,  -57.1929E-03,      -1.19817
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.55532,  -935.539E-03,  -287.965E-03,      -1.20866
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.76022,      -1.20718,  -724.091E-03,      -1.05679
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.24275,  -441.931E-03,  -744.839E-03,  -891.261E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       1.84965,  -952.075E-03,      -1.44175,  -660.411E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       1.76576,      -1.25110,  -147.676E-03,      -1.23728
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       1.46673,  -727.311E-03,  -146.656E-03,      -1.26523
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       1.42702,  -357.106E-03,  -460.209E-03,      -1.30271
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.21891,   776.883E-03,  -831.180E-03,  -437.415E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.43415,      -1.57364,   20.8064E-03,      -1.85697
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.84494,      -2.19201,  -549.084E-03,      -1.72836
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.51757,  -765.720E-03,  -653.020E-03,      -1.13589
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.42627,      -1.60508,      -1.61080,  -846.063E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.48368,  -606.910E-03,   150.886E-03,      -1.34543
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       2.01236,      -1.46862,  -164.892E-03,      -1.36585
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       2.29334,      -1.83771,  -766.445E-03,      -1.13790
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.42861,  -772.973E-03,  -811.395E-03,  -886.045E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.40213,      -1.51262,      -1.78508,  -543.774E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       2.29824,      -1.80273,  -2.24076E-03,      -1.42550
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       1.75620,      -1.09858,  -71.6716E-03,      -1.36829
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2313,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       1.53738,  -662.990E-03,  -569.426E-03,      -1.26481
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.24796,   793.959E-03,  -870.252E-03,  -411.947E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.58576,      -1.74040,   68.7414E-03,      -1.91114
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       3.03140,      -2.41018,  -553.778E-03,      -1.75321
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.58296,  -870.865E-03,  -670.081E-03,      -1.13945
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.59306,      -1.78381,      -1.69836,  -810.897E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.57013,  -692.121E-03,   214.719E-03,      -1.39290
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       2.15462,      -1.62319,  -122.527E-03,      -1.41159
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       2.45186,      -2.01847,  -771.617E-03,      -1.15846
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.49372,  -873.624E-03,  -823.151E-03,  -889.039E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.56290,      -1.67702,      -1.86906,  -512.514E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       2.45836,      -1.96124,   48.0899E-03,      -1.48147
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       1.85196,      -1.20938,  -43.5439E-03,      -1.40188
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     30: Step Time =   0.2510,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       1.58389,  -756.791E-03,  -593.055E-03,      -1.25868
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     34: Step Time =   0.3088,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.32925,   826.175E-03,  -981.422E-03,  -348.065E-03
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     34: Step Time =   0.3088,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       3.03200,      -2.20879,   205.596E-03,      -2.06688
C:/Users/ctkey/Desktop/Bulge/S2_6N_APSlide_Tether_Upgrade.odb,Load1,Increment     34: Step Time =   0.3088,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       3.57600,      -3.02266,  -561.029E-03,      -1.82662
