ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.82261,  -568.974E-03,       2.29963,      -1.53464
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.43248,  -203.706E-03,       2.39413,  -378.950E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.29085,  -68.1428E-03,       2.28875,   70.4887E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.45191,  -314.687E-03,       2.31981,  -728.942E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.60373,  -200.774E-03,       2.56627,  -391.600E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       2.19838,  -356.645E-03,       2.00853,  -819.453E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       2.16918,  -220.339E-03,       2.14827,  -204.255E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.84908,  -121.305E-03,       1.82173,   292.711E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       2.05374,  -306.289E-03,       1.93828,  -605.881E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.31751,  -216.591E-03,       2.29871,  -199.675E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       2.30527,  -452.368E-03,       2.25735,  -118.431E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.43650,  -477.751E-03,       2.30641,  -623.498E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.53714,  -320.254E-03,       2.33149,  -947.982E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.68252,  -129.075E-03,       1.92823,      -1.86043
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.22134,   20.9881E-03,       2.10509,  -708.865E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.94265,   64.9175E-03,       1.92316,  -266.681E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.22618,  -28.7970E-03,       1.95701,      -1.06074
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.23100,   19.2036E-03,       2.10779,  -730.903E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       2.03083,  -70.6092E-03,       1.72459,      -1.07007
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.89325,   559.616E-06,       1.83428,  -468.841E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.44270,   17.0736E-03,       1.44260,  -2.95851E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.80471,  -59.2769E-03,       1.56377,  -898.928E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       1.91632,  -4.28381E-03,       1.84095,  -532.149E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       2.01651,  -239.583E-03,       1.96172,  -400.730E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.20627,  -216.847E-03,       1.99288,  -921.437E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.34399,  -51.6432E-03,       1.95629,      -1.29018
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1053,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.27269,   268.409E-03,       1.52856,      -1.66030
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1053,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.05469,  -172.093E-03,       1.87345,  -826.027E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1053,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.60857,  -281.911E-03,       1.54492,  -348.203E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1053,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.87366,  -17.1899E-03,       1.57674,      -1.01203
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1053,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.61383,  -161.350E-03,       1.48823,  -602.992E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1053,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.95211,  -29.1552E-03,       1.59659,      -1.12285
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1053,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.71638,  -165.083E-03,       1.61168,  -566.736E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1053,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.13493,  -241.150E-03,       1.10588,  -83.4466E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1053,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.49222,  -52.8785E-03,       1.22172,  -855.173E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1053,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       1.32596,  -164.237E-03,       1.24333,  -430.520E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1053,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       1.87071,  -427.061E-03,       1.74811,  -511.159E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1053,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.01650,  -249.082E-03,       1.75061,  -969.337E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1053,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.00003,  -16.0800E-03,       1.57964,      -1.22663
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   0.1507,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.92586,   522.433E-03,       1.18450,      -1.42582
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   0.1507,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.00594,  -492.112E-03,       1.70660,  -932.268E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   0.1507,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.51391,  -755.092E-03,       1.24062,  -427.347E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   0.1507,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.58210,  -140.303E-03,       1.26083,  -945.328E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   0.1507,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.15313,  -480.688E-03,   939.217E-03,  -465.328E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   0.1507,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.93086,  -110.301E-03,       1.53500,      -1.16611
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   0.1507,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.66606,  -459.207E-03,       1.45856,  -661.438E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   0.1507,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.06146,  -625.802E-03,   842.378E-03,  -159.563E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   0.1507,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.24749,  -172.342E-03,   945.540E-03,  -795.285E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   0.1507,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",   900.883E-03,  -460.888E-03,   709.116E-03,  -310.365E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   0.1507,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       1.86878,  -740.819E-03,       1.60065,  -617.626E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   0.1507,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       1.90763,  -405.232E-03,       1.57290,      -1.00042
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   0.1507,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       1.70884,  -111.453E-03,       1.26704,      -1.14119
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.2341,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.36200,   844.805E-03,   543.175E-03,  -919.948E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.2341,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.17216,      -1.18673,       1.41179,      -1.14752
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.2341,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.98561,      -1.73567,   721.622E-03,  -639.805E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.2341,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.18152,  -493.116E-03,   693.815E-03,  -819.414E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.2341,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.23269,      -1.20538,  -48.9302E-03,  -253.369E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.2341,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.91145,  -365.955E-03,       1.42657,      -1.21845
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.2341,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.83750,      -1.10417,       1.19274,  -857.070E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.2341,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.53800,      -1.43835,   408.934E-03,  -359.679E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.2341,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",   971.981E-03,  -510.953E-03,   464.324E-03,  -684.163E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.2341,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       1.16862,      -1.13514,  -245.927E-03,  -129.038E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.2341,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       2.13314,      -1.41725,       1.34905,  -849.561E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.2341,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       1.82819,  -807.357E-03,       1.25945,      -1.05082
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.2341,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       1.27902,  -413.598E-03,   715.615E-03,  -976.080E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.2653,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.24211,   910.224E-03,   327.887E-03,  -778.986E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.2653,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.30262,      -1.43315,       1.31819,      -1.22904
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.2653,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.26351,      -2.07281,   558.543E-03,  -717.612E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.2653,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.13815,  -636.235E-03,   509.329E-03,  -794.463E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.2653,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.52633,      -1.46931,  -361.423E-03,  -200.458E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.2653,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.92266,  -476.226E-03,       1.38289,      -1.24798
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.2653,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.96533,      -1.33368,       1.10510,  -928.755E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.2653,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.79256,      -1.71922,   269.214E-03,  -430.215E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.2653,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",   977.508E-03,  -649.590E-03,   306.185E-03,  -663.178E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.2653,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       1.48598,      -1.37982,  -544.778E-03,  -86.2930E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.2653,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       2.28521,      -1.65532,       1.26806,  -934.946E-03
