ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.97159,  -191.881E-03,       2.21308,      -1.97379
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.36189,   560.845E-03,       2.22908,  -543.317E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.32769,   725.233E-03,       2.20223,  -205.762E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.49084,   287.444E-03,       2.22884,      -1.07423
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.80564,   522.916E-03,       2.60707,  -895.185E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.97242,   216.447E-03,       1.74335,  -896.838E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       2.03138,   499.276E-03,       1.94417,  -312.136E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.78270,   564.749E-03,       1.69001,   54.4032E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       2.03379,   235.531E-03,       1.80540,  -906.301E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.46902,   467.940E-03,       2.32428,  -689.057E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       2.10231,   290.976E-03,       2.06834,  -238.796E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.27176,   147.377E-03,       2.11925,  -804.960E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.59614,   221.777E-03,       2.22601,      -1.31743
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   6.2532E-02,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",   950.153E-03,   285.947E-03,   122.833E-03,  -897.740E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   6.2532E-02,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",   807.771E-03,   140.915E-03,   198.806E-03,  -770.138E-03
