ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.97228,  -263.807E-03,       2.05949,      -2.12682
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.31022,   509.535E-03,       1.97864,      -1.07818
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.32491,   681.496E-03,       2.03494,  -894.297E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.55312,   229.865E-03,       2.05582,      -1.49638
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.84450,   471.394E-03,       2.41228,      -1.43175
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.84842,   154.987E-03,       1.46543,      -1.11586
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.82755,   449.498E-03,       1.65658,  -627.411E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.60309,   516.077E-03,       1.47744,  -347.494E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.97282,   173.021E-03,       1.57773,      -1.17168
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.35489,   415.909E-03,       2.07818,      -1.02650
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       1.92526,   222.016E-03,       1.81340,  -607.413E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.19153,   82.8517E-03,       1.86244,      -1.15206
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.67901,   157.227E-03,       2.02686,      -1.74476
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.96604,  -240.265E-03,       2.05261,      -2.12754
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.31470,   505.114E-03,       1.98113,      -1.08527
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.31716,   667.618E-03,       2.02825,  -899.865E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.55068,   235.051E-03,       2.04976,      -1.49973
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.82864,   467.751E-03,       2.39376,      -1.43260
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.84756,   161.176E-03,       1.46415,      -1.11525
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.82597,   452.939E-03,       1.65347,  -628.533E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.59868,   515.296E-03,       1.47199,  -351.400E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.97035,   177.336E-03,       1.57242,      -1.17402
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.34946,   418.870E-03,       2.06867,      -1.03204
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       1.92678,   219.696E-03,       1.81380,  -611.839E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.19117,   87.2297E-03,       1.85945,      -1.15588
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.67701,   162.365E-03,       2.02094,      -1.74808
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.95631,  -161.548E-03,       2.04321,      -2.13049
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.34066,   482.862E-03,       2.00524,      -1.10659
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.29825,   617.659E-03,       2.01991,  -905.768E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.55019,   248.155E-03,       2.04349,      -1.50532
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.77921,   449.868E-03,       2.34696,      -1.41895
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.86816,   174.581E-03,       1.48508,      -1.11987
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.83739,   448.735E-03,       1.66578,  -632.298E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.58926,   496.516E-03,       1.46746,  -354.655E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.97073,   185.000E-03,       1.56944,      -1.17746
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.32833,   414.699E-03,       2.04407,      -1.03485
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       1.94905,   201.794E-03,       1.83490,  -625.490E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.20558,   94.1229E-03,       1.86951,      -1.16648
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.67648,   174.846E-03,       2.01453,      -1.75347
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.94964,  -72.8581E-03,       2.03534,      -2.13364
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.37339,   454.895E-03,       2.03634,      -1.13110
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.27961,   559.102E-03,       2.01387,  -910.133E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.55143,   261.208E-03,       2.03953,      -1.51059
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.72362,   426.997E-03,       2.29724,      -1.39946
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.90088,   186.849E-03,       1.51706,      -1.13003
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.85549,   436.309E-03,       1.68641,  -639.131E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.57854,   467.414E-03,       1.46502,  -356.436E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.97282,   191.031E-03,       1.56910,      -1.18044
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.29894,   403.162E-03,       2.01459,      -1.03151
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       1.98110,   177.598E-03,       1.86471,  -645.027E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.22635,   99.1092E-03,       1.88611,      -1.17872
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1643,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.67536,   187.186E-03,       2.00930,      -1.75649
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.94524,   33.4249E-03,       2.02690,      -2.13658
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.41503,   419.427E-03,       2.07583,      -1.16076
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.26000,   486.759E-03,       2.00853,  -914.596E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.55363,   275.511E-03,       2.03622,      -1.51622
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.65679,   397.270E-03,       2.23882,      -1.37418
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.94571,   200.148E-03,       1.56016,      -1.14526
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.88020,   416.390E-03,       1.71465,  -649.416E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.56557,   427.035E-03,       1.46301,  -358.106E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.97555,   196.853E-03,       1.56968,      -1.18329
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.25871,   384.748E-03,       1.97649,      -1.02334
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       2.02337,   147.161E-03,       1.90341,  -670.382E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.25289,   103.983E-03,       1.90825,      -1.19302
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.2143,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.67274,   200.828E-03,       2.00347,      -1.75766
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_Tether_Upgrade.odb,Load1,Increment     14: Step Time =   0.2643,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.94413,   155.035E-03,       2.01766,      -2.13843
