ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.80533,  -564.943E-03,       2.14253,      -1.72054
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.36473,  -215.677E-03,       2.15971,  -938.672E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.21960,  -90.1585E-03,       2.12124,  -647.170E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.47135,  -323.396E-03,       2.14624,      -1.18179
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.55097,  -214.171E-03,       2.35160,  -965.170E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       2.08826,  -366.803E-03,       1.75913,      -1.06385
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.97344,  -239.039E-03,       1.88215,  -542.990E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.62087,  -157.128E-03,       1.60781,  -132.139E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.96121,  -326.473E-03,       1.71108,  -901.090E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.12103,  -237.932E-03,       2.02950,  -568.583E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       2.14080,  -492.391E-03,       2.02055,  -507.883E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.35922,  -505.551E-03,       2.07580,      -1.00070
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.58004,  -335.892E-03,       2.13585,      -1.40781
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   5.2304E-02,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.02099,   270.948E-03,  -272.059E-03,  -946.044E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   5.2304E-02,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       1.38633,   279.250E-03,  -344.190E-03,      -1.31357
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   5.2304E-02,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.53960,   259.840E-03,  -266.849E-03,      -1.49387
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   5.2304E-02,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.28772,   268.236E-03,  -283.851E-03,      -1.22707
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   5.2304E-02,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.44349,   272.466E-03,  -314.298E-03,      -1.38226
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   5.2304E-02,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.06180,   229.373E-03,  -552.199E-03,  -877.426E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   5.2304E-02,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.06667,   252.059E-03,  -541.910E-03,  -883.503E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   5.2304E-02,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.10513,   201.832E-03,  -555.011E-03,  -934.097E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   5.2304E-02,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.13058,   208.649E-03,  -548.189E-03,  -966.527E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   5.2304E-02,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       1.19000,   238.862E-03,  -530.461E-03,      -1.03810
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   5.2304E-02,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",   963.481E-03,  -4.57915E-03,  -431.011E-03,  -861.687E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   5.2304E-02,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       1.11169,   60.2234E-03,  -304.287E-03,      -1.06754
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     18: Step Time =   5.2304E-02,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       1.47285,   229.203E-03,  -169.671E-03,      -1.44498
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1188,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.02879,   493.282E-03,  -577.263E-03,  -694.159E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1188,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       1.69635,  -619.564E-03,  -252.254E-03,      -1.55888
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1188,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.88369,  -900.542E-03,  -480.076E-03,      -1.58330
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1188,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.29917,  -231.323E-03,  -520.239E-03,      -1.16777
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1188,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.59933,  -606.877E-03,  -991.847E-03,      -1.09809
C:/Users/ctkey/Desktop/Bulge2/S2_6N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1188,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.15961,  -186.462E-03,  -273.827E-03,      -1.11129
