ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_5N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         43603,  -921.183E-03,       465.855,      -724.351,NA,NA,"",       1.39862,  -320.113E-03,   273.942E-03,      -1.33365
C:/Users/ctkey/Desktop/Bulge3/S2_5N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         45231,      -9.77407,       439.734,      -724.269,NA,NA,"",   691.008E-03,  -68.1558E-03,   198.783E-03,  -658.280E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         48010,  -610.150E-03,       433.276,      -728.730,NA,NA,"",   605.711E-03,  -40.3659E-03,   181.445E-03,  -576.485E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         49528,  -260.693E-03,       448.147,      -727.116,NA,NA,"",   967.088E-03,  -170.501E-03,   220.819E-03,  -925.974E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         51801,       9.34631,       440.491,      -724.991,NA,NA,"",   903.690E-03,  -81.9352E-03,   361.188E-03,  -824.309E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         64922,      -16.3700,       448.439,      -724.476,NA,NA,"",   416.185E-03,  -72.9299E-03,   126.618E-03,  -389.691E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         72178,      -11.3847,       439.694,      -727.651,NA,NA,"",   385.730E-03,  -67.0918E-03,   127.592E-03,  -357.780E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75248,  -647.386E-03,       433.685,      -733.792,NA,NA,"",   382.025E-03,  -73.2869E-03,   114.566E-03,  -356.997E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         76817,  -299.212E-03,       448.134,      -730.141,NA,NA,"",   468.175E-03,  -90.7599E-03,   136.564E-03,  -438.521E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_LatPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         79122,       10.3535,       439.980,      -728.202,NA,NA,"",   460.978E-03,  -68.5121E-03,   166.545E-03,  -424.346E-03
