ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_6P_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         43603,  -921.183E-03,       465.855,      -724.351,NA,NA,"",   761.025E-03,  -281.460E-03,   323.381E-03,  -628.779E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         45231,      -9.77407,       439.734,      -724.269,NA,NA,"",   507.289E-03,  -131.412E-03,   298.066E-03,   388.883E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         48010,  -610.150E-03,       433.276,      -728.730,NA,NA,"",   714.993E-03,  -74.6578E-03,   180.313E-03,   687.843E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         49528,  -260.693E-03,       448.147,      -727.116,NA,NA,"",   302.464E-03,  -166.897E-03,   233.974E-03,   94.2661E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         51801,       9.34631,       440.491,      -724.991,NA,NA,"",   597.098E-03,  -132.874E-03,   380.926E-03,   440.189E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         64922,      -16.3700,       448.439,      -724.476,NA,NA,"",   378.620E-03,  -121.031E-03,   356.558E-03,   39.6395E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         72178,      -11.3847,       439.694,      -727.651,NA,NA,"",   397.875E-03,  -100.005E-03,   294.404E-03,   248.253E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75248,  -647.386E-03,       433.685,      -733.792,NA,NA,"",   457.363E-03,  -73.2669E-03,   176.257E-03,   415.627E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         76817,  -299.212E-03,       448.134,      -730.141,NA,NA,"",   290.739E-03,  -105.121E-03,   254.536E-03,   93.2212E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         79122,       10.3535,       439.980,      -728.202,NA,NA,"",   449.265E-03,  -98.5369E-03,   315.274E-03,   304.520E-03
