ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         67481,      -1.09246,       466.044,      -738.176,NA,NA,"",   334.345E-03,  -109.004E-03,   68.8301E-03,  -308.492E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         72185,      -11.4076,       442.752,      -742.895,NA,NA,"",   198.863E-03,  -60.0970E-03,  -44.5003E-03,   184.267E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74758,  -726.455E-03,       434.514,      -746.925,NA,NA,"",   412.909E-03,  -36.6539E-03,  -112.959E-03,   395.462E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         76402,      -1.19712,       450.257,      -743.220,NA,NA,"",   91.9524E-03,  -69.5017E-03,  -37.8006E-03,   46.8601E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         79143,       10.2095,       442.615,      -743.252,NA,NA,"",   256.923E-03,  -58.6634E-03,  -19.9032E-03,   249.343E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         91547,      -15.3771,       452.519,      -739.266,NA,NA,"",   2.51243E-03,   1.21856E-03,   2.10171E-03,   640.498E-06
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         96158,      -12.3403,       443.878,      -747.161,NA,NA,"",   722.249E-06,  -442.577E-06,   569.709E-06,   34.6503E-06
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99748,      -1.08588,       435.679,      -751.769,NA,NA,"",   3.34231E-03,  -29.9031E-06,   632.435E-06,   3.28179E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        101677,      -1.11860,       450.634,      -747.156,NA,NA,"",   1.14773E-03,  -473.317E-06,   1.01385E-03,   255.634E-06
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        104690,       11.3998,       443.451,      -746.362,NA,NA,"",   966.994E-06,  -321.334E-06,   682.120E-06,   605.421E-06
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        105011,      -12.5560,       442.888,      -744.389,NA,NA,"",   230.877E-03,  -177.729E-03,  -83.5657E-03,   121.381E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106429,      -8.73135,       450.255,      -742.662,NA,NA,"",   316.739E-03,  -164.611E-03,   193.077E-03,   189.600E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        107452,      -1.10363,       450.959,      -745.356,NA,NA,"",   360.524E-03,  -18.7698E-03,   340.415E-03,   117.229E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         67481,      -1.09246,       466.044,      -738.176,NA,NA,"",   503.827E-03,  -104.987E-03,   72.7542E-03,  -487.366E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         72185,      -11.4076,       442.752,      -742.895,NA,NA,"",   440.093E-03,  -137.643E-03,   67.1717E-03,  -412.582E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         74758,  -726.455E-03,       434.514,      -746.925,NA,NA,"",   377.159E-03,  -145.009E-03,   25.0659E-03,  -347.265E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         76402,      -1.19712,       450.257,      -743.220,NA,NA,"",   443.385E-03,  -121.355E-03,   45.8175E-03,  -423.986E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         79143,       10.2095,       442.615,      -743.252,NA,NA,"",   388.192E-03,  -137.241E-03,   21.7990E-03,  -362.467E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         91547,      -15.3771,       452.519,      -739.266,NA,NA,"",   7.02574E-03,   2.32891E-03,  -6.61157E-03,  -473.701E-06
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         96158,      -12.3403,       443.878,      -747.161,NA,NA,"",   1.51564E-03,  -475.255E-06,  -828.545E-06,  -1.17678E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         99748,      -1.08588,       435.679,      -751.769,NA,NA,"",   2.27837E-03,  -149.687E-06,  -752.579E-06,  -2.14527E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",        101677,      -1.11860,       450.634,      -747.156,NA,NA,"",   1.78875E-03,  -285.657E-06,   233.663E-06,  -1.75026E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",        104690,       11.3998,       443.451,      -746.362,NA,NA,"",   1.29150E-03,  -237.716E-06,  -942.557E-06,  -850.316E-06
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",        105011,      -12.5560,       442.888,      -744.389,NA,NA,"",   440.772E-03,  -417.785E-03,  -119.997E-03,  -73.0461E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",        106429,      -8.73135,       450.255,      -742.662,NA,NA,"",   505.818E-03,  -282.303E-03,   401.668E-03,   121.733E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",        107452,      -1.10363,       450.959,      -745.356,NA,NA,"",   658.496E-03,  -12.4884E-03,   648.328E-03,  -114.592E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   0.1077,"PART-1-1",         67481,      -1.09246,       466.044,      -738.176,NA,NA,"",   331.978E-03,  -119.580E-03,  -47.5516E-03,  -306.021E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   0.1077,"PART-1-1",         72185,      -11.4076,       442.752,      -742.895,NA,NA,"",   448.556E-03,  -148.102E-03,  -16.9447E-03,  -423.062E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   0.1077,"PART-1-1",         74758,  -726.455E-03,       434.514,      -746.925,NA,NA,"",   484.112E-03,  -159.484E-03,  -16.2868E-03,  -456.797E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   0.1077,"PART-1-1",         76402,      -1.19712,       450.257,      -743.220,NA,NA,"",   414.128E-03,  -137.282E-03,  -29.1980E-03,  -389.619E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   0.1077,"PART-1-1",         79143,       10.2095,       442.615,      -743.252,NA,NA,"",   451.199E-03,  -148.552E-03,  -45.8330E-03,  -423.571E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   0.1077,"PART-1-1",         91547,      -15.3771,       452.519,      -739.266,NA,NA,"",   9.26223E-03,   3.09693E-03,  -8.72553E-03,  -251.179E-06
