ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         48025,   690.084E-03,       433.003,      -728.010,NA,NA,"",   291.974E-03,   124.927E-03,   42.6379E-03,  -260.430E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         48403,   959.792E-03,       433.197,      -718.675,NA,NA,"",   466.008E-03,   229.322E-03,   299.742E-03,  -273.367E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         49541,       1.05125,       448.452,      -726.226,NA,NA,"",   689.538E-03,  -39.3817E-03,   90.1372E-03,  -682.486E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      4: Step Time =   5.7500E-02,"PART-1-1",         48025,   690.084E-03,       433.003,      -728.010,NA,NA,"",   629.246E-03,   176.383E-03,  -188.121E-03,  -573.977E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      4: Step Time =   5.7500E-02,"PART-1-1",         48403,   959.792E-03,       433.197,      -718.675,NA,NA,"",   678.638E-03,   314.916E-03,  -156.930E-03,  -580.301E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      4: Step Time =   5.7500E-02,"PART-1-1",         49541,       1.05125,       448.452,      -726.226,NA,NA,"",   645.899E-03,   493.671E-06,  -177.863E-03,  -620.927E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      6: Step Time =   0.1025,"PART-1-1",         48025,   690.084E-03,       433.003,      -728.010,NA,NA,"",   971.501E-03,   178.262E-03,  -394.684E-03,  -869.633E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      6: Step Time =   0.1025,"PART-1-1",         48403,   959.792E-03,       433.197,      -718.675,NA,NA,"",       1.09838,   315.686E-03,  -586.552E-03,  -873.349E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      6: Step Time =   0.1025,"PART-1-1",         49541,       1.05125,       448.452,      -726.226,NA,NA,"",   697.749E-03,   28.3083E-03,  -430.347E-03,  -548.501E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     11: Step Time =   0.1672,"PART-1-1",         48025,   690.084E-03,       433.003,      -728.010,NA,NA,"",       1.38775,   154.482E-03,  -641.677E-03,      -1.22075
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     11: Step Time =   0.1672,"PART-1-1",         48403,   959.792E-03,       433.197,      -718.675,NA,NA,"",       1.65619,   289.638E-03,      -1.07334,      -1.22760
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     11: Step Time =   0.1672,"PART-1-1",         49541,       1.05125,       448.452,      -726.226,NA,NA,"",   894.065E-03,   37.4223E-03,  -736.568E-03,  -505.391E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     13: Step Time =   0.2146,"PART-1-1",         48025,   690.084E-03,       433.003,      -728.010,NA,NA,"",       1.62493,   141.751E-03,  -780.510E-03,      -1.41813
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     13: Step Time =   0.2146,"PART-1-1",         48403,   959.792E-03,       433.197,      -718.675,NA,NA,"",       1.97506,   279.597E-03,      -1.33429,      -1.42911
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     13: Step Time =   0.2146,"PART-1-1",         49541,       1.05125,       448.452,      -726.226,NA,NA,"",       1.03987,   40.4282E-03,  -909.465E-03,  -502.558E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     15: Step Time =   0.2716,"PART-1-1",         48025,   690.084E-03,       433.003,      -728.010,NA,NA,"",       1.88268,   138.969E-03,  -919.073E-03,      -1.63722
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     15: Step Time =   0.2716,"PART-1-1",         48403,   959.792E-03,       433.197,      -718.675,NA,NA,"",       2.32267,   284.568E-03,      -1.60492,      -1.65470
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     15: Step Time =   0.2716,"PART-1-1",         49541,       1.05125,       448.452,      -726.226,NA,NA,"",       1.20052,   50.5128E-03,      -1.08779,  -505.375E-03
