ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         48011,  -511.171E-03,       432.904,      -727.946,NA,NA,"",   276.453E-03,   126.901E-03,   30.4791E-03,  -243.707E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         49529,  -153.295E-03,       448.506,      -726.348,NA,NA,"",   674.949E-03,  -41.2989E-03,   72.8121E-03,  -669.738E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment      4: Step Time =   5.7500E-02,"PART-1-1",         48011,  -511.171E-03,       432.904,      -727.946,NA,NA,"",   618.092E-03,   178.764E-03,  -203.589E-03,  -555.547E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment      4: Step Time =   5.7500E-02,"PART-1-1",         49529,  -153.295E-03,       448.506,      -726.348,NA,NA,"",   633.224E-03,  -1.85612E-03,  -193.958E-03,  -602.785E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment      6: Step Time =   0.1025,"PART-1-1",         48011,  -511.171E-03,       432.904,      -727.946,NA,NA,"",   964.437E-03,   180.416E-03,  -410.036E-03,  -854.084E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment      6: Step Time =   0.1025,"PART-1-1",         49529,  -153.295E-03,       448.506,      -726.348,NA,NA,"",   690.212E-03,   26.0526E-03,  -441.926E-03,  -529.543E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment     11: Step Time =   0.1672,"PART-1-1",         48011,  -511.171E-03,       432.904,      -727.946,NA,NA,"",       1.38401,   156.346E-03,  -656.410E-03,      -1.20837
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment     11: Step Time =   0.1672,"PART-1-1",         49529,  -153.295E-03,       448.506,      -726.348,NA,NA,"",   888.182E-03,   35.2961E-03,  -742.901E-03,  -485.509E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment     13: Step Time =   0.2146,"PART-1-1",         48011,  -511.171E-03,       432.904,      -727.946,NA,NA,"",       1.62232,   143.514E-03,  -795.061E-03,      -1.40684
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment     13: Step Time =   0.2146,"PART-1-1",         49529,  -153.295E-03,       448.506,      -726.348,NA,NA,"",       1.03323,   38.3187E-03,  -913.302E-03,  -481.638E-03
