ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         48389,  -298.123E-03,       432.989,      -718.694,NA,NA,"",   445.805E-03,   231.761E-03,   284.673E-03,  -252.963E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         49853,  -136.800E-03,       448.193,      -714.571,NA,NA,"",   780.007E-03,   97.0411E-03,   391.881E-03,  -667.400E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment      4: Step Time =   5.7500E-02,"PART-1-1",         48389,  -298.123E-03,       432.989,      -718.694,NA,NA,"",   667.312E-03,   317.610E-03,  -173.437E-03,  -560.668E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment      4: Step Time =   5.7500E-02,"PART-1-1",         49853,  -136.800E-03,       448.193,      -714.571,NA,NA,"",   650.918E-03,   180.237E-03,  -160.795E-03,  -604.445E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment      6: Step Time =   0.1025,"PART-1-1",         48389,  -298.123E-03,       432.989,      -718.694,NA,NA,"",       1.09563,   318.001E-03,  -600.880E-03,  -859.200E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment      6: Step Time =   0.1025,"PART-1-1",         49853,  -136.800E-03,       448.193,      -714.571,NA,NA,"",   900.721E-03,   205.849E-03,  -689.931E-03,  -541.221E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment     11: Step Time =   0.1672,"PART-1-1",         48389,  -298.123E-03,       432.989,      -718.694,NA,NA,"",       1.65785,   291.476E-03,      -1.08475,      -1.21936
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment     11: Step Time =   0.1672,"PART-1-1",         49853,  -136.800E-03,       448.193,      -714.571,NA,NA,"",       1.40763,   211.068E-03,      -1.29275,  -515.416E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment     13: Step Time =   0.2146,"PART-1-1",         48389,  -298.123E-03,       432.989,      -718.694,NA,NA,"",       1.97790,   281.219E-03,      -1.34432,      -1.42331
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment     13: Step Time =   0.2146,"PART-1-1",         49853,  -136.800E-03,       448.193,      -714.571,NA,NA,"",       1.71331,   216.950E-03,      -1.61675,  -523.909E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment     15: Step Time =   0.2716,"PART-1-1",         48389,  -298.123E-03,       432.989,      -718.694,NA,NA,"",       2.32635,   286.030E-03,      -1.61390,      -1.65089
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment     15: Step Time =   0.2716,"PART-1-1",         49853,  -136.800E-03,       448.193,      -714.571,NA,NA,"",       2.04596,   236.370E-03,      -1.95901,  -540.705E-03
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment     18: Step Time =   0.3223,"PART-1-1",         48389,  -298.123E-03,       432.989,      -718.694,NA,NA,"",       2.62385,   293.731E-03,      -1.83873,      -1.84861
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261597845183.096.odb,Load1,Increment     18: Step Time =   0.3223,"PART-1-1",         49853,  -136.800E-03,       448.193,      -714.571,NA,NA,"",       2.33086,   255.311E-03,      -2.24847,  -558.679E-03
