ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_4N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   494.948E-03,  -215.763E-03,   372.779E-03,  -243.835E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   318.816E-03,  -167.430E-03,   254.491E-03,  -94.0491E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   301.110E-03,  -238.664E-03,  -146.130E-03,  -111.144E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   599.699E-03,  -213.217E-03,   260.265E-03,  -496.427E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   378.371E-03,  -175.774E-03,   171.022E-03,  -288.131E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   496.918E-03,  -243.429E-03,  -277.112E-03,  -332.984E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1153,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   579.211E-03,  -185.826E-03,   69.4408E-03,  -544.180E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1153,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   434.948E-03,  -173.077E-03,   23.0636E-03,  -398.362E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1153,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   638.694E-03,  -224.850E-03,  -426.799E-03,  -418.587E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_SlideSlide_Tether_Upgrade.odb,Load1,Increment     15: Step Time =   0.1747,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   562.108E-03,  -159.132E-03,  -85.6312E-03,  -532.268E-03
