ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   165.535E-03,  -115.597E-03,   47.0588E-03,  -108.741E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   503.761E-06,  -223.301E-06,  -35.8117E-06,  -450.143E-06
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   387.203E-03,  -115.151E-03,  -359.893E-03,  -84.5225E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   409.502E-03,  -175.258E-03,   51.4808E-03,  -366.506E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.27454E-03,  -452.328E-06,  -514.631E-06,  -1.07472E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   520.041E-03,  -160.212E-03,  -425.479E-03,  -252.472E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1009,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   464.142E-03,  -210.490E-03,   28.2113E-03,  -412.705E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1009,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.49868E-03,  -614.033E-06,  -626.204E-06,  -1.21527E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1009,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   552.742E-03,  -181.675E-03,  -432.382E-03,  -292.514E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     19: Step Time =   0.1516,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   490.334E-03,  -230.054E-03,   8.83291E-03,  -432.925E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     19: Step Time =   0.1516,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.62220E-03,  -730.564E-06,  -675.273E-06,  -1.28133E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     19: Step Time =   0.1516,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   569.682E-03,  -195.300E-03,  -433.082E-03,  -314.380E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     27: Step Time =   0.2019,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   503.810E-03,  -225.210E-03,  -13.5922E-03,  -450.467E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     27: Step Time =   0.2019,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.73539E-03,  -751.193E-06,  -756.031E-06,  -1.36956E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     27: Step Time =   0.2019,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   588.748E-03,  -198.197E-03,  -442.652E-03,  -333.769E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     34: Step Time =   0.2631,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   506.545E-03,  -191.930E-03,  -37.4049E-03,  -467.281E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     34: Step Time =   0.2631,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.94899E-03,  -674.070E-06,  -959.146E-06,  -1.55700E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     34: Step Time =   0.2631,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   612.323E-03,  -188.629E-03,  -463.366E-03,  -353.059E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     39: Step Time =   0.3082,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   496.400E-03,  -156.215E-03,  -49.5641E-03,  -468.565E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     39: Step Time =   0.3082,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.12941E-03,  -564.342E-06,  -1.13925E-03,  -1.70822E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     39: Step Time =   0.3082,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   622.144E-03,  -175.962E-03,  -477.476E-03,  -357.935E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     46: Step Time =   0.3524,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   474.793E-03,  -113.662E-03,  -57.0966E-03,  -457.438E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     46: Step Time =   0.3524,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.34421E-03,  -419.615E-06,  -1.34802E-03,  -1.87138E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     46: Step Time =   0.3524,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   623.130E-03,  -159.446E-03,  -487.681E-03,  -353.603E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     53: Step Time =   0.4011,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   441.699E-03,  -65.2617E-03,  -60.2673E-03,  -432.674E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     53: Step Time =   0.4011,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.60359E-03,  -248.071E-06,  -1.58820E-03,  -2.04811E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     53: Step Time =   0.4011,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   614.581E-03,  -139.118E-03,  -493.736E-03,  -338.499E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     59: Step Time =   0.4521,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   395.058E-03,  -13.2050E-03,  -58.7368E-03,  -390.444E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     59: Step Time =   0.4521,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.86216E-03,  -77.3478E-06,  -1.82274E-03,  -2.20536E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     59: Step Time =   0.4521,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   592.944E-03,  -113.394E-03,  -493.358E-03,  -308.743E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     64: Step Time =   0.5045,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   338.529E-03,   37.4830E-03,  -52.0679E-03,  -332.394E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     64: Step Time =   0.5045,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   3.08984E-03,   98.1450E-06,  -2.03005E-03,  -2.32731E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     64: Step Time =   0.5045,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   559.365E-03,  -87.3603E-03,  -483.519E-03,  -267.333E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     69: Step Time =   0.5520,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   287.111E-03,   79.8199E-03,  -44.0022E-03,  -272.259E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     69: Step Time =   0.5520,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   3.24158E-03,   247.086E-06,  -2.17598E-03,  -2.38996E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     69: Step Time =   0.5520,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   524.401E-03,  -66.7614E-03,  -468.731E-03,  -225.458E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     73: Step Time =   0.6031,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   234.866E-03,   128.972E-03,  -30.9176E-03,  -193.836E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     73: Step Time =   0.6031,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   3.36858E-03,   389.466E-06,  -2.30896E-03,  -2.42163E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     73: Step Time =   0.6031,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   479.206E-03,  -41.7722E-03,  -446.177E-03,  -169.763E-03
