ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   154.332E-03,  -68.8939E-03,  -19.0252E-03,   136.784E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   277.695E-06,  -148.114E-06,   230.042E-06,   47.5124E-06
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   304.217E-03,  -76.8811E-03,  -289.064E-03,   55.4923E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     14: Step Time =   5.7264E-02,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   574.015E-03,  -107.075E-03,   15.5617E-03,  -563.725E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     14: Step Time =   5.7264E-02,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.61748E-03,  -307.358E-06,  -719.946E-06,  -1.41543E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     14: Step Time =   5.7264E-02,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   654.621E-03,  -134.096E-03,  -510.889E-03,  -386.704E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     18: Step Time =   0.1048,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   624.335E-03,  -126.381E-03,   31.0393E-03,  -610.621E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     18: Step Time =   0.1048,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.79528E-03,  -593.734E-06,  -767.358E-06,  -1.51052E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     18: Step Time =   0.1048,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   671.346E-03,  -144.392E-03,  -511.935E-03,  -409.607E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1519,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   649.505E-03,  -158.734E-03,   52.7224E-03,  -627.599E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1519,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.92738E-03,  -949.289E-06,  -726.605E-06,  -1.51185E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1519,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   665.412E-03,  -158.564E-03,  -498.344E-03,  -411.441E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     24: Step Time =   0.2136,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   682.759E-03,  -201.128E-03,   79.9864E-03,  -647.541E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     24: Step Time =   0.2136,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.24294E-03,  -1.44141E-03,  -723.520E-06,  -1.55872E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     24: Step Time =   0.2136,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   656.637E-03,  -176.464E-03,  -478.452E-03,  -413.662E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_APPhys_NoTether_Upgrade.odb,Load1,Increment     27: Step Time =   0.2657,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   715.922E-03,  -242.719E-03,   102.321E-03,  -665.705E-03
