ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   736.466E-03,  -75.3869E-03,   203.940E-03,   703.639E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   449.906E-03,  -70.2745E-03,   154.457E-03,   416.677E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   586.506E-03,  -91.9398E-03,  -29.3654E-03,   578.510E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   6.5373E-02,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   654.347E-03,  -38.6461E-03,  -79.0636E-03,  -648.403E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   6.5373E-02,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   503.711E-03,  -94.4148E-03,  -84.0830E-03,  -487.587E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   6.5373E-02,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   773.969E-03,  -105.927E-03,  -564.382E-03,  -518.922E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     15: Step Time =   0.1100,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   566.483E-03,   59.1848E-03,  -103.041E-03,  -553.880E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     15: Step Time =   0.1100,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   509.133E-03,  -44.2172E-03,  -126.415E-03,  -491.203E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     15: Step Time =   0.1100,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   727.881E-03,  -23.7856E-03,  -559.213E-03,  -465.323E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   0.1549,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   428.587E-03,   123.316E-03,  -40.1065E-03,  -408.499E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   0.1549,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   468.380E-03,  -10.4562E-03,  -116.175E-03,  -453.623E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   0.1549,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   598.701E-03,   32.9440E-03,  -479.516E-03,  -356.963E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     26: Step Time =   0.2162,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   288.112E-03,   168.601E-03,   178.089E-03,  -151.217E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     26: Step Time =   0.2162,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   342.430E-03,   18.4249E-03,  -25.6626E-03,  -340.970E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     26: Step Time =   0.2162,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   310.502E-03,   80.0706E-03,  -267.177E-03,  -136.443E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     40: Step Time =   0.2503,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   402.559E-03,   187.412E-03,   355.749E-03,   19.3294E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     40: Step Time =   0.2503,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   262.758E-03,   33.3271E-03,   56.8921E-03,  -254.351E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4N_LatPhys_NoTether_Upgrade.odb,Load1,Increment     40: Step Time =   0.2503,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   146.190E-03,   103.430E-03,  -102.013E-03,   16.3445E-03
