ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_NoTethera_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   736.466E-03,  -75.3870E-03,   203.940E-03,   703.639E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_NoTethera_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   449.906E-03,  -70.2746E-03,   154.457E-03,   416.678E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_NoTethera_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   586.506E-03,  -91.9399E-03,  -29.3654E-03,   578.510E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_NoTethera_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   905.423E-03,  -46.9783E-03,  -168.771E-03,  -888.313E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_NoTethera_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   570.869E-03,  -75.7471E-03,  -111.064E-03,  -554.814E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_NoTethera_Upgrade.odb,Load1,Increment     16: Step Time =   5.4674E-02,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   975.268E-03,  -109.868E-03,  -684.848E-03,  -685.609E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_NoTethera_Upgrade.odb,Load1,Increment     21: Step Time =   0.1016,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.06562,  -170.693E-03,  -222.952E-03,      -1.02796
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_NoTethera_Upgrade.odb,Load1,Increment     21: Step Time =   0.1016,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   648.846E-03,  -128.777E-03,  -159.958E-03,  -615.493E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_NoTethera_Upgrade.odb,Load1,Increment     21: Step Time =   0.1016,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.10750,  -211.023E-03,  -762.692E-03,  -774.808E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_NoTethera_Upgrade.odb,Load1,Increment     25: Step Time =   0.1523,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.15923,  -368.328E-03,  -162.766E-03,      -1.08704
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_NoTethera_Upgrade.odb,Load1,Increment     25: Step Time =   0.1523,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   692.573E-03,  -225.791E-03,  -154.036E-03,  -636.355E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_NoTethera_Upgrade.odb,Load1,Increment     25: Step Time =   0.1523,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",       1.13644,  -370.829E-03,  -736.213E-03,  -782.283E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6N_LatPhys_NoTethera_Upgrade.odb,Load1,Increment     28: Step Time =   0.2027,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",       1.24791,  -534.909E-03,  -97.1166E-03,      -1.12326
