ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   414.376E-03,  -37.4982E-03,  -105.517E-03,   398.958E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   738.248E-06,  -241.399E-06,   419.620E-06,   557.365E-06
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   278.269E-03,  -45.7705E-03,  -187.547E-03,   200.412E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   379.952E-03,  -134.632E-03,   53.4616E-03,  -351.254E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.25233E-03,  -140.977E-06,  -585.932E-06,  -1.09779E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   514.984E-03,  -136.930E-03,  -434.500E-03,  -240.142E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1215,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   434.525E-03,  -107.171E-03,   50.9814E-03,  -418.004E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1215,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.62834E-03,   76.3307E-06,  -879.579E-06,  -1.36821E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1215,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   553.062E-03,  -123.751E-03,  -460.878E-03,  -279.562E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   0.1511,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   432.451E-03,  -73.6548E-03,   62.4729E-03,  -421.528E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   0.1511,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.64997E-03,   188.389E-06,  -898.114E-06,  -1.37124E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   0.1511,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   547.948E-03,  -102.968E-03,  -464.658E-03,  -271.546E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2072,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   431.845E-03,   13.7311E-03,   86.2620E-03,  -422.919E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2072,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.65757E-03,   454.161E-06,  -878.580E-06,  -1.33017E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_LatPhys_NoTether_Upgrade.odb,Load1,Increment     28: Step Time =   0.2072,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   530.855E-03,  -46.5248E-03,  -466.434E-03,  -249.163E-03
