ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   182.198E-03,   33.4659E-03,   129.677E-03,  -123.531E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   195.065E-03,  -21.1947E-03,   85.7914E-03,  -173.900E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   299.575E-03,  -26.8583E-03,  -276.075E-03,  -113.165E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   201.777E-03,   36.3198E-03,   138.319E-03,  -142.347E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   204.622E-03,  -19.4598E-03,   87.3637E-03,  -184.008E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   303.874E-03,  -24.5888E-03,  -276.487E-03,  -123.651E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1153,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   256.966E-03,   35.0427E-03,   198.285E-03,  -159.645E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1153,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   216.207E-03,  -17.6114E-03,   124.678E-03,  -175.757E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1153,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   269.810E-03,  -24.9252E-03,  -240.424E-03,  -119.886E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1653,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   321.281E-03,   30.3006E-03,   272.187E-03,  -167.981E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1653,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   233.799E-03,  -16.9324E-03,   173.689E-03,  -155.588E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1653,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   220.666E-03,  -27.7207E-03,  -191.564E-03,  -105.964E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     14: Step Time =   0.2153,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   403.679E-03,   24.8047E-03,   362.447E-03,  -175.993E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     14: Step Time =   0.2153,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   267.347E-03,  -16.3550E-03,   234.633E-03,  -127.100E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     14: Step Time =   0.2153,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   159.704E-03,  -31.1993E-03,  -130.840E-03,  -86.0968E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     15: Step Time =   0.2653,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   504.594E-03,   17.4938E-03,   454.736E-03,  -218.000E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     15: Step Time =   0.2653,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   318.032E-03,  -16.0518E-03,   302.825E-03,  -95.8302E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     15: Step Time =   0.2653,"PART-1-1",         80978,      -1.92377,       432.464,      -730.821,NA,NA,"",   118.008E-03,  -37.2269E-03,  -77.9208E-03,  -80.4263E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     16: Step Time =   0.3153,"PART-1-1",         47997,      -1.71337,       432.798,      -727.962,NA,NA,"",   617.162E-03,   6.58233E-03,   550.271E-03,  -279.368E-03
C:/Users/ctkey/Desktop/Bulge4/S2_4P_Fixed_Tether_Upgrade.odb,Load1,Increment     16: Step Time =   0.3153,"PART-1-1",         75165,      -1.74629,       433.436,      -734.692,NA,NA,"",   376.077E-03,  -17.3411E-03,   369.488E-03,  -67.9095E-03
