ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.29085,  -68.1428E-03,       2.28875,   70.4887E-03
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.80155,  -115.332E-03,       1.76803,   326.113E-03
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.51393,  -82.2031E-03,       1.48515,   282.028E-03
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.95033,   98.1096E-03,       1.92942,  -267.443E-03
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.39238,   53.3474E-03,       1.39105,   29.2249E-03
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.09262,   90.3624E-03,       1.08841,  -31.8211E-03
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.64118,  -375.010E-03,       1.56010,  -344.899E-03
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.10068,  -297.512E-03,       1.05836,  -53.4565E-03
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment     11: Step Time =   0.1143,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",   806.819E-03,  -312.154E-03,   734.101E-03,  -120.886E-03
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment     14: Step Time =   0.1737,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.74901,      -1.06897,       1.31733,  -425.454E-03
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment     14: Step Time =   0.1737,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.20431,  -852.241E-03,   840.109E-03,  -135.137E-03
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment     14: Step Time =   0.1737,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.07500,  -927.862E-03,   501.496E-03,  -207.823E-03
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   0.2001,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.93893,      -1.40706,       1.25138,  -462.270E-03
C:/Users/ctkey/Desktop/Bulge4/S2_5N_Fixed_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   0.2001,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.38114,      -1.12749,   779.180E-03,  -170.889E-03
