ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   250.023E-03,  -49.0757E-03,  -29.3988E-03,  -243.390E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.58920E-03,  -62.5809E-06,  -791.254E-06,  -1.37679E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   501.910E-03,  -89.1548E-03,  -452.556E-03,  -197.884E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment      4: Step Time =   5.7500E-02,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   382.024E-03,  -72.1780E-03,  -39.2219E-03,  -373.088E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment      4: Step Time =   5.7500E-02,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.80521E-03,  -292.256E-06,  -853.913E-06,  -1.56340E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment      4: Step Time =   5.7500E-02,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   576.189E-03,  -107.228E-03,  -490.577E-03,  -282.544E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment      8: Step Time =   0.1047,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   432.137E-03,  -111.574E-03,  -27.8930E-03,  -416.553E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment      8: Step Time =   0.1047,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.94866E-03,  -637.393E-06,  -862.809E-06,  -1.62683E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment      8: Step Time =   0.1047,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   592.121E-03,  -130.414E-03,  -489.405E-03,  -306.727E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment     11: Step Time =   0.1554,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   472.904E-03,  -153.977E-03,  -11.3576E-03,  -446.990E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment     11: Step Time =   0.1554,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.23472E-03,  -1.07764E-03,  -920.658E-06,  -1.72774E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment     11: Step Time =   0.1554,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   595.816E-03,  -151.916E-03,  -479.482E-03,  -319.399E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment     15: Step Time =   0.2286,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   521.911E-03,  -214.308E-03,   17.1116E-03,  -475.574E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment     15: Step Time =   0.2286,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.66827E-03,  -1.68970E-03,  -964.404E-06,  -1.82606E-03
M:/SpHinal!/Python_Bulge/M15/TLC_6N_1-26_Upgrade.odb,Load1,Increment     15: Step Time =   0.2286,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   588.744E-03,  -178.812E-03,  -456.097E-03,  -326.530E-03
