ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   215.094E-03,  -114.179E-03,   61.4495E-03,  -171.617E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   690.920E-06,  -215.362E-06,  -196.517E-06,  -626.395E-06
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   414.900E-03,  -119.093E-03,  -378.551E-03,  -121.069E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   327.700E-03,  -148.317E-03,   69.9763E-03,  -283.713E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.01347E-03,  -374.378E-06,  -362.522E-06,  -869.220E-06
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   468.011E-03,  -142.965E-03,  -402.716E-03,  -190.826E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1153,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   394.204E-03,  -202.233E-03,   55.8994E-03,  -333.727E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1153,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.26730E-03,  -630.366E-06,  -453.986E-06,  -1.00129E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     12: Step Time =   0.1153,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   495.803E-03,  -172.828E-03,  -403.071E-03,  -231.269E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     15: Step Time =   0.1747,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   439.545E-03,  -249.984E-03,   41.3198E-03,  -359.167E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     15: Step Time =   0.1747,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.48145E-03,  -864.998E-06,  -516.569E-06,  -1.08611E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     15: Step Time =   0.1747,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   511.323E-03,  -198.291E-03,  -395.537E-03,  -256.286E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   0.2040,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   458.123E-03,  -271.661E-03,   34.0686E-03,  -367.310E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   0.2040,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.57780E-03,  -974.893E-06,  -539.318E-06,  -1.11722E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   0.2040,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   515.510E-03,  -209.427E-03,  -389.689E-03,  -264.637E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     25: Step Time =   0.2544,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   484.745E-03,  -301.499E-03,   19.9569E-03,  -379.048E-03
C:/Users/ctkey/Desktop/Bulge/S2_5P_SlideSlide_NoTether_Upgrade.odb,Load1,Increment     25: Step Time =   0.2544,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.72809E-03,  -1.13860E-03,  -574.905E-06,  -1.16591E-03
