ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.23387,  -192.920E-03,       2.11748,   684.993E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.79304,  -234.286E-03,       1.51055,   937.196E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.60813,  -205.647E-03,       1.28102,   950.146E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   6.2199E-02,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.10052,       1.08937,       1.58127,  -851.498E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   6.2199E-02,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.33997,   873.848E-03,   943.524E-03,  -376.384E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     19: Step Time =   6.2199E-02,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.24936,   991.095E-03,   605.454E-03,  -460.487E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1152,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.98256,       1.24451,       2.67101,  -461.066E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1152,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       2.07834,       1.01462,       1.81273,  -63.7314E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1152,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.98530,       1.14137,       1.62261,  -76.3817E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1585,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       4.13288,       1.27320,       3.93044,  -106.454E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1585,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       3.04553,       1.04746,       2.85003,   235.466E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1585,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       3.05574,       1.17454,       2.80727,   278.003E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     32: Step Time =   0.2049,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       5.66299,       1.28132,       5.51000,   259.849E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     32: Step Time =   0.2049,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       4.33558,       1.06640,       4.16492,   559.876E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     32: Step Time =   0.2049,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       4.50626,       1.19161,       4.29677,   651.320E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     51: Step Time =   0.2500,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       7.28638,       1.27626,       7.15049,   576.931E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4N_APSlide_NoTether_Upgrade.odb,Load1,Increment     51: Step Time =   0.2500,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       5.69919,       1.07566,       5.53154,   851.895E-03
