ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   414.658E-03,  -37.4582E-03,  -105.591E-03,   399.235E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   738.834E-06,  -241.564E-06,   419.867E-06,   557.882E-06
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   278.285E-03,  -45.7259E-03,  -187.408E-03,   200.574E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   512.002E-03,  -90.4034E-03,  -3.39967E-03,  -503.947E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.76523E-03,   100.786E-06,  -918.117E-06,  -1.50430E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     17: Step Time =   5.4991E-02,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   632.701E-03,  -123.706E-03,  -506.794E-03,  -358.004E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1106,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   543.580E-03,   5.16833E-03,  -1.68273E-03,  -543.553E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1106,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.07806E-03,   536.124E-06,  -1.11084E-03,  -1.67241E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     21: Step Time =   0.1106,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   654.371E-03,  -63.8001E-03,  -534.643E-03,  -371.871E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     27: Step Time =   0.1621,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   552.394E-03,   100.160E-03,   18.9708E-03,  -542.907E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     27: Step Time =   0.1621,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.38657E-03,   923.254E-06,  -1.28294E-03,  -1.78812E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     27: Step Time =   0.1621,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   639.223E-03,  -2.81860E-03,  -533.465E-03,  -352.155E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     32: Step Time =   0.2044,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   565.801E-03,   171.552E-03,   35.3449E-03,  -538.007E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     32: Step Time =   0.2044,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.70047E-03,   1.24074E-03,  -1.45572E-03,  -1.90630E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     32: Step Time =   0.2044,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   619.051E-03,   42.3902E-03,  -517.846E-03,  -336.545E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     36: Step Time =   0.2501,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   588.609E-03,   247.043E-03,   53.0681E-03,  -531.615E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     36: Step Time =   0.2501,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   3.06980E-03,   1.59200E-03,  -1.65148E-03,  -2.04005E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_APSlide_NoTether_Upgrade.odb,Load1,Increment     36: Step Time =   0.2501,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   595.622E-03,   88.1695E-03,  -494.398E-03,  -320.254E-03
