ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   414.375E-03,  -37.4964E-03,  -105.517E-03,   398.958E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   738.239E-06,  -241.391E-06,   419.614E-06,   557.361E-06
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   278.269E-03,  -45.7692E-03,  -187.547E-03,   200.412E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   6.9261E-02,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   488.298E-03,  -180.265E-03,   13.6446E-03,  -453.600E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   6.9261E-02,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.56091E-03,  -451.565E-06,  -709.352E-06,  -1.31504E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     20: Step Time =   6.9261E-02,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   586.785E-03,  -170.081E-03,  -459.062E-03,  -323.498E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1104,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   511.383E-03,  -173.753E-03,  -9.07463E-03,  -480.874E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1104,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.66068E-03,  -445.880E-06,  -775.971E-06,  -1.39889E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   0.1104,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   612.752E-03,  -172.138E-03,  -472.850E-03,  -349.637E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     29: Step Time =   0.1621,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   520.982E-03,  -139.071E-03,  -32.1567E-03,  -501.046E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     29: Step Time =   0.1621,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.85761E-03,  -338.788E-06,  -946.132E-06,  -1.56229E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     29: Step Time =   0.1621,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   638.787E-03,  -161.708E-03,  -493.613E-03,  -371.815E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     36: Step Time =   0.2025,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   516.633E-03,  -104.472E-03,  -43.8345E-03,  -504.057E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     36: Step Time =   0.2025,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.03542E-03,  -217.438E-06,  -1.10341E-03,  -1.69651E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     36: Step Time =   0.2025,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   649.531E-03,  -148.663E-03,  -506.757E-03,  -378.136E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     41: Step Time =   0.2547,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   487.621E-03,  -57.0000E-03,  -50.4896E-03,  -481.639E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     41: Step Time =   0.2547,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.26954E-03,  -55.7941E-06,  -1.31288E-03,  -1.85042E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     41: Step Time =   0.2547,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   642.435E-03,  -126.904E-03,  -513.659E-03,  -364.380E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     47: Step Time =   0.3024,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   437.570E-03,  -10.9504E-03,  -49.3961E-03,  -434.635E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     47: Step Time =   0.3024,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.46369E-03,   81.1548E-06,  -1.49253E-03,  -1.95845E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     47: Step Time =   0.3024,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   616.711E-03,  -103.365E-03,  -508.957E-03,  -332.582E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     54: Step Time =   0.3524,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   365.582E-03,   39.9081E-03,  -41.5295E-03,  -361.016E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     54: Step Time =   0.3524,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.61324E-03,   204.618E-06,  -1.64343E-03,  -2.02146E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     54: Step Time =   0.3524,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   573.126E-03,  -77.4243E-03,  -493.495E-03,  -280.966E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     64: Step Time =   0.4045,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   281.492E-03,   90.2369E-03,  -28.6823E-03,  -265.089E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     64: Step Time =   0.4045,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.69545E-03,   320.409E-06,  -1.74903E-03,  -2.02575E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     64: Step Time =   0.4045,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   515.962E-03,  -51.9801E-03,  -466.465E-03,  -214.302E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     69: Step Time =   0.4540,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   215.319E-03,   136.712E-03,  -13.5642E-03,  -165.796E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     69: Step Time =   0.4540,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.68068E-03,   419.920E-06,  -1.78272E-03,  -1.95746E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     69: Step Time =   0.4540,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   459.312E-03,  -29.0946E-03,  -434.710E-03,  -145.425E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     74: Step Time =   0.5095,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   194.342E-03,   187.921E-03,   3.29471E-03,  -49.4328E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     74: Step Time =   0.5095,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.57978E-03,   545.502E-06,  -1.75652E-03,  -1.80896E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     74: Step Time =   0.5095,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   399.795E-03,  -5.10751E-03,  -394.236E-03,  -66.2429E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     77: Step Time =   0.5600,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   239.503E-03,   231.734E-03,   18.0057E-03,   57.7649E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     77: Step Time =   0.5600,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.38484E-03,   679.188E-06,  -1.64377E-03,  -1.58878E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     77: Step Time =   0.5600,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   353.317E-03,   14.6894E-03,  -352.976E-03,   5.03936E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     81: Step Time =   0.6046,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   304.012E-03,   264.789E-03,   29.0913E-03,   146.504E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     81: Step Time =   0.6046,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   2.11718E-03,   854.931E-06,  -1.43520E-03,  -1.30068E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     81: Step Time =   0.6046,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   323.441E-03,   29.1218E-03,  -315.970E-03,   62.6805E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     85: Step Time =   0.6610,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   389.594E-03,   296.656E-03,   41.4103E-03,   249.127E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     85: Step Time =   0.6610,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.76903E-03,   1.08059E-03,  -1.09573E-03,  -872.463E-06
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     85: Step Time =   0.6610,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   302.940E-03,   42.2574E-03,  -270.822E-03,   129.007E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     88: Step Time =   0.7028,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   449.541E-03,   315.781E-03,   49.2199E-03,   316.144E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     88: Step Time =   0.7028,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.61140E-03,   1.22528E-03,  -867.660E-06,  -585.208E-06
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     88: Step Time =   0.7028,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   299.539E-03,   49.7148E-03,  -240.079E-03,   172.088E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     90: Step Time =   0.7622,"PART-1-1",         74745,      -2.25878,       434.273,      -746.396,NA,NA,"",   529.036E-03,   339.593E-03,   58.5740E-03,   401.403E-03
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     90: Step Time =   0.7622,"PART-1-1",         99631,      -1.85668,       435.615,      -752.659,NA,NA,"",   1.55239E-03,   1.42336E-03,  -580.060E-06,  -217.946E-06
C:/Users/ctkey/Desktop/Bulge2/S2_5P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     90: Step Time =   0.7622,"PART-1-1",        106459,      -2.29380,       434.322,      -749.004,NA,NA,"",   307.725E-03,   58.6255E-03,  -199.755E-03,   226.617E-03
