ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.23341,  -192.872E-03,       2.11760,   683.160E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.79238,  -234.252E-03,       1.51080,   935.536E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.60715,  -205.610E-03,       1.28109,   948.399E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   5.4567E-02,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.37971,   292.200E-03,   380.288E-03,      -1.29368
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   5.4567E-02,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",   760.154E-03,   222.838E-03,  -12.6551E-03,  -726.648E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     23: Step Time =   5.4567E-02,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.07751,   266.561E-03,  -513.844E-03,  -908.817E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     28: Step Time =   0.1060,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.54637,  -511.818E-03,  -147.850E-03,      -1.45170
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     28: Step Time =   0.1060,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.08496,  -439.196E-03,  -447.239E-03,  -885.560E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     28: Step Time =   0.1060,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       1.55272,  -466.904E-03,  -997.864E-03,      -1.09417
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     31: Step Time =   0.1528,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.02028,      -1.21962,  -380.281E-03,      -1.56507
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     31: Step Time =   0.1528,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       1.56339,      -1.03279,  -621.132E-03,  -995.860E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     31: Step Time =   0.1528,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       2.04547,      -1.11735,      -1.20081,      -1.22211
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     36: Step Time =   0.2099,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.58364,      -1.91035,  -493.514E-03,      -1.66799
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     36: Step Time =   0.2099,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       2.06540,      -1.60785,  -700.682E-03,      -1.09076
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     36: Step Time =   0.2099,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       2.54955,      -1.74602,      -1.29582,      -1.33134
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     41: Step Time =   0.2620,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       3.08487,      -2.49927,  -513.826E-03,      -1.73380
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     41: Step Time =   0.2620,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       2.49426,      -2.09519,  -717.934E-03,      -1.14720
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     41: Step Time =   0.2620,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       2.97581,      -2.27809,      -1.31270,      -1.39375
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     43: Step Time =   0.3032,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       3.49188,      -2.95339,  -522.916E-03,      -1.78809
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     43: Step Time =   0.3032,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       2.84095,      -2.47366,  -726.811E-03,      -1.19321
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     43: Step Time =   0.3032,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       3.32486,      -2.68998,      -1.31844,      -1.44235
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     46: Step Time =   0.3549,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       3.97616,      -3.47490,  -529.415E-03,      -1.85867
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     46: Step Time =   0.3549,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       3.24801,      -2.90603,  -735.585E-03,      -1.25039
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     46: Step Time =   0.3549,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       3.73909,      -3.16003,      -1.31924,      -1.50152
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     49: Step Time =   0.4225,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       4.55744,      -4.08478,  -531.708E-03,      -1.94989
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     49: Step Time =   0.4225,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       3.73305,      -3.41081,  -743.197E-03,      -1.32276
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     49: Step Time =   0.4225,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       4.23774,      -3.70798,      -1.31635,      -1.57371
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     54: Step Time =   0.4621,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       4.88018,      -4.41828,  -530.256E-03,      -2.00344
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     54: Step Time =   0.4621,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       4.00159,      -3.68698,  -745.870E-03,      -1.36477
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     54: Step Time =   0.4621,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       4.51567,      -4.00818,      -1.31182,      -1.61396
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     56: Step Time =   0.5191,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       5.32533,      -4.87054,  -540.413E-03,      -2.08447
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     56: Step Time =   0.5191,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       4.37180,      -4.06083,  -761.153E-03,      -1.42932
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     56: Step Time =   0.5191,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       4.90067,      -4.41335,      -1.31617,      -1.67530
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     57: Step Time =   0.5691,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       5.70419,      -5.25130,  -552.609E-03,      -2.15786
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     57: Step Time =   0.5691,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       4.68685,      -4.37568,  -778.919E-03,      -1.48769
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     57: Step Time =   0.5691,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       5.22960,      -4.75351,      -1.32416,      -1.73191
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     60: Step Time =   0.6129,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       6.02426,      -5.57110,  -561.147E-03,      -2.22254
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     60: Step Time =   0.6129,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       4.95242,      -4.63974,  -794.190E-03,      -1.53901
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     60: Step Time =   0.6129,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       5.50723,      -5.03857,      -1.33022,      -1.78126
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     62: Step Time =   0.6832,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       6.51310,      -6.05534,  -579.019E-03,      -2.32768
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     62: Step Time =   0.6832,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       5.35771,      -5.03920,  -823.066E-03,      -1.62300
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     62: Step Time =   0.6832,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       5.93200,      -5.46971,      -1.34354,      -1.86165
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     63: Step Time =   0.7254,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       6.79202,      -6.32952,  -591.319E-03,      -2.39146
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     63: Step Time =   0.7254,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       5.58870,      -5.26517,  -841.898E-03,      -1.67414
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     63: Step Time =   0.7254,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       6.17472,      -5.71373,      -1.35168,      -1.91140
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     64: Step Time =   0.7676,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       7.06335,      -6.59486,  -605.122E-03,      -2.45614
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     64: Step Time =   0.7676,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       5.81314,      -5.48349,  -863.301E-03,      -1.72586
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     64: Step Time =   0.7676,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       6.40956,      -5.94878,      -1.36127,      -1.95996
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     65: Step Time =   0.8176,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       7.36966,      -6.89276,  -621.246E-03,      -2.53293
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     65: Step Time =   0.8176,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       6.06610,      -5.72833,  -889.038E-03,      -1.78702
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     65: Step Time =   0.8176,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       6.67388,      -6.21178,      -1.37277,      -2.01741
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     66: Step Time =   0.8676,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       7.66413,      -7.17729,  -640.066E-03,      -2.61069
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     66: Step Time =   0.8676,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       6.30978,      -5.96261,  -917.714E-03,      -1.84889
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     66: Step Time =   0.8676,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       6.92994,      -6.46446,      -1.38716,      -2.07618
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     69: Step Time =   0.9269,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       8.00150,      -7.50125,  -665.640E-03,      -2.70409
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     69: Step Time =   0.9269,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       6.58979,      -6.22996,  -955.715E-03,      -1.92340
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     69: Step Time =   0.9269,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       7.22465,      -6.75303,      -1.40795,      -2.14708
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     70: Step Time =   0.9691,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       8.23313,      -7.72248,  -684.448E-03,      -2.77117
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     70: Step Time =   0.9691,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       6.78241,      -6.41289,  -984.049E-03,      -1.97679
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     70: Step Time =   0.9691,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       7.42782,      -6.95111,      -1.42347,      -2.19734
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     71: Step Time =    1.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       8.39848,      -7.87995,  -697.716E-03,      -2.82027
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     71: Step Time =    1.000,"PART-1-1",         27979,  -34.8459E-03,       432.863,      -701.240,NA,NA,"",       6.92062,      -6.54362,      -1.00542,      -2.01622
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_NoTether_Upgrade.odb,Load1,Increment     71: Step Time =    1.000,"PART-1-1",         33106,  -60.3769E-03,       432.790,      -698.611,NA,NA,"",       7.57370,      -7.09284,      -1.43506,      -2.23453
